drink	image	Tequila	Vodka	Whiskey	Gin	Rum	Mocktail	Light	Regular	Strong
Blackberry Margarita	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Apple Pie	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0.00	1.40	2.00	3.40
Bee's Knees	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0.00	1.40	2.00	3.40
Cosmopolitan	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Espresso Martini	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Lemon Drop	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Manhattan	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.40	2.00	3.40
Passion Fruit Margarita	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
Pineapple Margarita	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Old Fashioned	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.40	2.00	3.40
Sidecar	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
Whiskey Sour	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
Sex on the Beach	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	1.40	2.00	3.40
Amaretto Sour	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.00	0.70	1.00	1.70
Aviation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.00	1.40	2.00	3.40
Blood and Sand	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.00	1.00	1.50	2.50
Candyman Margarita	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.00	1.00	1.50	2.50
Cupid's Arrow	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.00	1.00	1.50	2.50
